,A,B,C,D,E,F,G,H,I,J,K
4.0,12471,11953,12225,12434,12105,12222,12166,11926,12154,12197,12154
10.0,13062,12462,12679,12751,12875,12892,12802,12337,12759,12929,12770
15.0,13531,12901,13002,13116,13159,13246,13110,13273,12994,13316,13135
