,A1,A2,A3,A4,B1,B2,B3,B4
5.0,14701,14676,14747,14821,15170,14710,14667,14747
11.0,15238,15208,15282,15325,15895,15244,15203,15282
18.0,16330,15692,,16056,16561,15870,15830,15910
