,1,2,3,4,5,6,7,8,A,B,C,D,E,F
8.0,565,268,350,315,285,285,290,280,285,285,366,275,290,280
14.0,565,268,350,315,285,285,200,280,302,285,366,275,300,280
20.0,505,268,350,460,305,305,200,190,305,305,405,275,300,190
