,A,B,C,D,E,F,G,H,I,J,K,L,M,N
7.0,19007,17641,16761,16761,16761,17176,16611,16791,17201,16798,16813,16687,16927,16864
10.0,17556,17956,17064,17064,17064,17477,17181,17095,17829,17053,17450,17094,18502,17167
14.0,17940,18475,17474,17474,17979,17676,17594,17506,18098,18498,19914,17395,17167,17578
