,A,C,D,E,F,whole floor
4.0,6437700,5134404,5053865,4408068,6970000,5074335
8.0,6588925,5255072,5173125,4511664,7133125,4548136
11.0,6358272,6106290,5263015,4590428,7258125,4180410
