,A,B,C,CD,D,E,F,G,H
6.0,6287040,6110550,7494150,,7476760,5341690,6078730,7490860,7415190
12.0,6569720,6342910,7864510,,7885190,5531130,6413580,7864040,7777560
18.0,6827610,6570090,7832080,,7998460,5737590,6659260,7830670,7926080
