,A1,A2,A3,B1,B2,B3,B4,B5,C,D
4.0,6029920,4865985,4674404,4723136,4432008,4330200,4252556,4256346,5968326,5015448
7.0,6140082,6734019,4759811,4809376,4513796,4407600,4329248,4334096,6077058,5106960
10.0,6250690,4994495,4845904,4895968,4595906,4487100,4406864,4412468,6187116,5199210
