,A,B,C,D,E,F,G,H,I
4.0,5298594,6696824,5532324,5573205,5472400,5464705,5356802,6588324,7669464
8.0,5430901,6872504,5676642,5718600,5614400,5607625,5728320,6760521,7894644
12.0,5563208,7077070,5568384,6581575,5422296,5060964,5867550,6935580,7214816
