,A,B,C,D,E,F,WHOLE
5.0,6188267,5644821,5828669,6047090,4351647,5268858,
8.0,6304776,5751213,5938527,6158030,4434768,5368156,
11.0,6425715,5861232,6051689,6271980,4520361,5470107,
