,A,B,D,E,F,G,H
5.0,7407608,5662720,6104014,5630788,7041450,6521190,7050444
8.0,7497504,5763584,6212955,5734389,7157462,6631222,7176276
10.0,7586208,5832192,6287057,5808530,7211880,6717932,7261662
