,A,B,C,D,E,F,G,H,I
4.0,18462,13723,13762,13761,13681,13765,14323,13812,13794
8.0,18923,14083,14121,14120,14036,14125,14688,14173,14199
12.0,19384,14443,14501,14465,14421,14543,15045,14540,14546
