,A,B,C,D,E,whole floor
3.0,4620610,5016564,4769163,5128585,4529220,4769163
8.0,4767935,5159007,4910178,4984980,4671552,4910178
12.0,4877080,5277531,5027631,5206740,4786740,5027631
