,1,2,3,4,5,6,7
6.0,5355340,5234375,7644285,6734250,8075430,5471890,5405320
12.0,5521940,5431355,7924950,6460875,8388500,5693995,5755520
19.0,5755180,5635370,8218980,6749250,9015435,5873890,6038060
