,A1,A2,A3,A4,B1,B2,B3,B4
5.0,6762460,6750960,6414945,6447135,6978200,6766600,7333500,6414945
11.0,7009480,6995680,6647670,6666375,7311700,7012240,7601500,6647670
18.0,7593450,9022900,,5619600,7700865,7300200,7915000,6920850
