,A,B,C,D,E,F,G,H,J,K,L,M,N,P,R
13.0,20161280,13291071,11685177,7914294,8500024,11485671,15480088,11159616,12863630,13976040,8138244,13126131,8591872,7886157,8028420
28.0,22803040,14645661,12595842,8470932,9211514,12632796,16765472,12791480,14656620,14995240,8905442,14472243,8485304,8550597,8766560
41.0,23132120,16039695,13603086,9148932,9803014,13586196,46032779,13630838,16505790,16206320,9479588,16131798,9438188,9064860,9104520
