,1,10,10A10B,11,12,13,13-19,14,15,16,17,1718,18,19,2,20,3,4,45,5,6,67,7,8,9,RM 1-5,RM 6FLAT 16,RM 7,RM 8,RM6FLAT 16
18.0,19387,27757,29629,19649,19426,19601,,24710,18915,27481,27289,33149,20686,29147,26855,19180,27850,30119,,23631,19967,27643,19412,21904,19298,23359,19784,28432,29764,19784
29.0,20142,25579,31762,20928,24829,21029,,26477,20171,27674,27689,35634,22218,31186,28780,20703,27587,32317,,24334,21219,29616,20847,23919,20898,25091,20512,30453,32002,20512
40.0,23969,27216,33674,23346,26924,21887,,28241,23701,30193,27285,38093,23875,35740,30580,21722,29281,34363,,27537,22311,31454,23381,21119,22055,26668,21520,32328,34217,21520
