,1,10,11,12,2,3,4,5,6,7,8,9
11.0,17459,16367,16015,16664,16796,16110,14364,16344,15091,15430,15045,15051
24.0,18738,17353,17350,17762,18322,17556,15799,17733,16194,17246,16309,16448
36.0,18883,18432,19341,19093,19565,18330,17084,18942,17354,18815,18276,18607
