,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,,,
10.0/F中層A,10.0,中層,A,,,
16.0/F高層A,16.0,高層,A,,,
5.0/F低層B,5.0,低層,B,6402680,13565,472
10.0/F中層B,10.0,中層,B,6568352,13916,472
16.0/F高層B,16.0,高層,B,6823704,14457,472
5.0/F低層C,5.0,低層,C,,,
10.0/F中層C,10.0,中層,C,,,
16.0/F高層C,16.0,高層,C,,,
5.0/F低層D,5.0,低層,D,7710552,15768,489
10.0/F中層D,10.0,中層,D,7935981,16229,489
16.0/F高層D,16.0,高層,D,8206398,16782,489
