,lumpSum_avg,npsf_avg,final_address,lumpSum_15,npsf_15,nfa_15,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_29,npsf_29,nfa_29,lumpSum_32,npsf_32,nfa_32,lumpSum_6,npsf_6,nfa_6,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1678081.1666666667,5295.5,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1497496.0,5236.0,286.0,1568138.0,5483.0,286.0,2198914.0,5581.0,394.0,2150792.0,5572.0,386.0,1459170.0,5230.0,279.0,1481505.0,5235.0,283.0,2420307.0,5273.0,459.0,1460044.0,5141.0,284.0,1514004.0,5331.0,284.0,1433064.0,5046.0,284.0,1489864.0,5246.0,284.0,1463676.0000000002,5172.0,283.0,,0.036791337506316246,0.035980371378731446
2020-11-15,1618533.1666666667,5111.583333333333,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1463748.0,5118.0,286.0,1502644.0,5254.0,286.0,2107112.0,5348.0,394.0,2060854.0,5339.0,386.0,1431828.0,5132.0,279.0,1419811.0,5017.0,283.0,2319327.0,5053.0,459.0,1399268.0,4927.0,284.0,1450956.0,5109.0,284.0,1373708.0,4837.0,284.0,1456068.0,5127.0,284.0,1437074.0,5078.0,283.0,,-0.014768531148492858,-0.014776980035015042
2020-10-15,1642794.8333333333,5188.25,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1485769.9999999998,5195.0,286.0,1525238.0,5333.0,286.0,2138632.0,5428.0,394.0,2091734.0,5419.0,386.0,1453311.0,5209.0,279.0,1441319.0,5093.0,283.0,2353752.0,5128.0,459.0,1420284.0,5001.0,284.0,1472540.0,5185.0,284.0,1394440.0,4910.0,284.0,1477935.9999999998,5204.0,284.0,1458582.0,5154.0,283.0,,-0.00020058330945027514,4.818812644558079e-05
2020-9-15,1643124.4166666667,5188.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1484054.0,5189.0,286.0,1523522.0000000002,5327.0,286.0,2136268.0,5422.0,394.0,2115666.0,5481.0,386.0,1451637.0,5203.0,279.0,1439621.0,5087.0,283.0,2351457.0,5123.0,459.0,1418580.0,4995.0,284.0,1470836.0,5179.0,284.0,1392736.0,4904.0,284.0,1476232.0,5198.0,284.0,1456884.0,5148.0,283.0,,0.017589716041405135,0.017604079831314623
2020-8-15,1614721.9166666667,5098.25,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1458600.0000000002,5100.0,286.0,1497496.0,5236.0,286.0,2099626.0,5329.0,394.0,2079768.0,5388.0,386.0,1426806.0,5114.0,279.0,1415000.0,5000.0,283.0,2310606.0,5034.0,459.0,1410628.0,4967.0,284.0,1423976.0,5014.0,284.0,1390748.0000000002,4897.0,284.0,1450956.0,5109.0,284.0,1412453.0000000002,4991.0,283.0,,-0.06583547059868844,-0.06594094476167212
2020-7-15,1728519.8333333333,5458.166666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1565278.0,5473.0,286.0,1607034.0,5619.0,286.0,2253286.0,5719.0,394.0,2202902.0,5707.0,386.0,1508553.0,5407.0,279.0,1518578.0,5366.0,283.0,2479059.0,5401.0,459.0,1513720.0,5330.0,284.0,1528204.0,5381.0,284.0,1492704.0,5256.0,284.0,1557172.0,5483.0,284.0,1515748.0,5356.0,283.0,,0.05461497563537887,0.05461630116252869
2020-6-15,1639005.5833333333,5175.5,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1484340.0,5190.0,286.0,1523808.0,5328.0,286.0,2136662.0,5423.0,394.0,2089032.0,5412.0,386.0,1430433.0000000002,5127.0,279.0,1439904.0,5088.0,283.0,2350539.0,5121.0,459.0,1435336.0,5054.0,284.0,1448968.0,5102.0,284.0,1415172.0,4983.0,284.0,1476516.0,5199.0,284.0,1437357.0,5079.0,283.0,,-0.03765902204804328,-0.0376683143003238
2020-5-15,1703144.3333333333,5378.083333333333,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1542398.0,5393.0,286.0,1583296.0,5536.0,286.0,2220190.0,5635.0,394.0,2170478.0,5623.0,386.0,1486512.0,5328.0,279.0,1496221.0,5287.0,283.0,2442339.0,5321.0,459.0,1491568.0,5252.0,284.0,1505768.0,5302.0,284.0,1470836.0,5179.0,284.0,1534452.0,5403.0,284.0,1493674.0,5278.0,283.0,,0.025012272423528215,0.025015088466058932
2020-4-15,1661584.3333333333,5246.833333333333,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1504645.9999999998,5261.0,286.0,1544686.0,5401.0,286.0,2166212.0,5498.0,394.0,2117596.0,5486.0,386.0,1450242.0,5198.0,279.0,1459714.0,5158.0,283.0,2382669.0,5191.0,459.0,1455216.0,5124.0,284.0,1469132.0,5173.0,284.0,1434768.0,5052.0,284.0,1496964.0,5271.0,284.0,1457167.0,5149.0,283.0,,0.029718189246379367,0.029716248262327216
2020-3-15,1613630.1666666667,5095.416666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1461459.9999999998,5110.0,286.0,1500070.0,5245.0,286.0,2103566.0,5339.0,394.0,2056608.0,5328.0,386.0,1408392.0,5048.0,279.0,1417547.0,5009.0,283.0,2313819.0,5041.0,459.0,1413184.0,4976.0,284.0,1426532.0,5023.0,284.0,1393588.0,4907.0,284.0,1453796.0,5119.0,284.0,1415000.0,5000.0,283.0,,-0.019007141236327185,-0.019011711856248947
2020-2-15,1644894.9166666667,5194.166666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1489488.0,5208.0,286.0,1529242.0,5347.0,286.0,2144542.0,5443.0,394.0,2096366.0,5431.0,386.0,1435734.0,5146.0,279.0,1444998.0,5106.0,283.0,2358342.0,5138.0,459.0,1440732.0,5073.0,284.0,1454364.0,5121.0,284.0,1420568.0,5002.0,284.0,1481912.0,5218.0,284.0,1442451.0,5097.0,283.0,,-0.02576257580744834,-0.02575885460627081
