,lumpSum_avg,npsf_avg,final_address,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8513683.023370955,7641.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8513683.023370955,7641.0,654.0,,0.008797861262489937,0.016901783337769594
2020-11-15,8439434.053434901,7514.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8439434.053434901,7514.0,654.0,,0.02944240776465179,-0.0519808226091345
2020-10-15,8198063.329992813,7926.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8198063.329992813,7926.0,654.0,,,
2020-9-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-8-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-7-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-6-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-5-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-4-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-3-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-2-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2020-1-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-12-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-11-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-10-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-9-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-8-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-7-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-6-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-5-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-4-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-3-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-2-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2019-1-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-12-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-11-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-10-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-9-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-8-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-7-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-6-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-5-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2018-4-15,8940707.121150145,8512.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8940707.121150145,8512.0,654.0,,0.06278989288402581,0.048534121704853384
2018-3-15,8412487.90660618,8118.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8412487.90660618,8118.0,654.0,,0.015171306143182628,0.019465025744066278
2018-2-15,8286766.830089719,7963.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8286766.830089719,7963.0,654.0,,0.007799778688104553,-0.02676607186506963
2018-1-15,8222632.119325281,8182.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8222632.119325281,8182.0,654.0,,0.01907934504211717,0.07080225101426518
2017-12-15,8068686.858711135,7641.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",8068686.858711135,7641.0,654.0,,0.04299794822800718,0.016901783337769594
2017-11-15,7736052.47490598,7514.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",7736052.47490598,7514.0,654.0,,-0.011685953424367734,-0.0519808226091345
2017-10-15,7827524.56236993,7926.0,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",7827524.56236993,7926.0,654.0,,,
2017-9-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-8-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-7-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-6-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-5-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-4-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-3-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-2-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2017-1-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-12-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-11-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-10-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-9-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-8-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-7-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-6-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-5-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-4-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-3-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-2-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,,,
2016-1-15,,,"ON HING BLDG,DES VOEUX RD W|安慶樓,德輔道西",,,654.0,654.0,,
