,A,B,C,D,E,F,G
7.0,7492676,5516721,5357448,7174735,6405840,5897451,6003921
16.0,7697568,5666355,5585571,7396952,6504240,5928622,6263278
22.0,7846712,5772843,5742549,7596737,6683205,6064037,6419777
