,A,B,C,D,E,F,G,H,J
6.0,14045,14845,13987,13960,15089,14186,14332,14261,14401
16.0,14740,15755,14468,14528,15509,15029,15182,15004,14941
23.0,15322,15684,14791,14774,15590,14983,15899,15049,15286
