,A,B,C,D,E,F,G,H,J,K
7.0,5370368,6030639,5993320,6123932,7639668,4137546,3991056,3966848,4196542,7512332
16.0,5517312,6245641,6235058,6348982,7945452,4255538,4115632,4265232,4369316,7863592
22.0,5565952,6359269,6393803,6525807,8147664,4446673,4235312,4369952,4536973,8089788
