,A,B,C,CD,D,E,EF,F,G,H,J,K
7.0,14180,14357,14871,12442,14909,14031,,14276,14639,14157,13971,15308
18.0,14896,14380,15564,12942,15773,14905,,13583,15493,15274,15640,14087
28.0,14345,15451,16071,13656,15703,14664,,14189,16270,17039,16168,14452
