,A1,A2,A3,A4,B1,B2,B4,C1,C3,C4
2.0,2488990,1936480,2668200,2370915,2668200,1936480,2327440,2668200,2619860,2376240
3.0,2817900,2436525,2681400,2382430,2681400,1946035,1896685,2681400,2708310,2409840
4.0,2833710,2449755,2695500,2395590,2695500,1955590,2411100,2695500,2646830,2423040
