,A,B,C,D,F,G,H
3.0,6995610,7637058,6826400,7862352,6660610,7637058,7447050
6.0,6999030,7640842,8842925,7403616,6616500,7640842,7447905
9.0,7002450,7644626,8846950,7407264,6997450,7644626,7448760
