,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,3656030,3368820,3570330,2304060,2298285,3342900,3532140,2915990,3030120,4009950,2169750,2607165,3461700,3530695
11.0,4238112,3345940,3753025,2294160,2289870,3318600,3316250,2970135,2967705,3486510,2322375,2584065,3467750,3409665
17.0,4203064,3319160,4681487,4944619,2271060,4240134,3289750,2998065,3289750,3465450,2303730,2562780,3438875,3357942
