,A1,A2,A3,A4,B1,B2,B4,C1,C3,C4
2.0,310,245,300,235,300,245,235,300,290,240
3.0,310,245,300,235,300,245,235,300,290,240
4.0,310,245,300,235,300,245,235,300,290,240
