,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,6201282,14557,426
18.0/F中層A,18.0,中層,A,6480152,15176,427
30.0/F高層A,30.0,高層,A,6919108,16204,427
7.0/F低層B,7.0,低層,B,8581738,13451,638
18.0/F中層B,18.0,中層,B,9098271,14283,637
30.0/F高層B,30.0,高層,B,9823177,15421,637
7.0/F低層C,7.0,低層,C,6002304,12936,464
18.0/F中層C,18.0,中層,C,6356527,13729,463
30.0/F高層C,30.0,高層,C,6755170,14590,463
7.0/F低層D,7.0,低層,D,6273276,14726,426
18.0/F中層D,18.0,中層,D,6671875,15625,427
30.0/F高層D,30.0,高層,D,7111258,16654,427
7.0/F低層E,7.0,低層,E,5916714,13889,426
18.0/F中層E,18.0,中層,E,6277754,14702,427
30.0/F高層E,30.0,高層,E,6811504,15952,427
7.0/F低層F,7.0,低層,F,6629168,14287,464
18.0/F中層F,18.0,中層,F,6833880,14760,463
30.0/F高層F,30.0,高層,F,6777857,14639,463
7.0/F低層G,7.0,低層,G,8769948,13746,638
18.0/F中層G,18.0,中層,G,9277268,14564,637
30.0/F高層G,30.0,高層,G,9735271,15283,637
7.0/F低層H,7.0,低層,H,6310764,14814,426
18.0/F中層H,18.0,中層,H,6617219,15497,427
30.0/F高層H,30.0,高層,H,6884521,16123,427
