,A1,A2,A3,B2,C1,C3,D1,D3,E3,F3,F4,G1
2.0,7204,7807,7397,7719,7719,7826,7653,8130,7877,8104,8118,7804
3.0,7238,7999,7314,7756,7756,7726,7628,8168,7989,8142,8158,7841
4.0,7271,7881,7466,7792,7279,8020,7722,8206,8028,8180,8196,7878
