,A,B,C,D,E,F,G,H,I,J
2.0,6924,7262,7467,7467,7313,7313,6271,7456,7330,7134
3.0,6953,7293,7498,7498,7344,7344,6303,7487,7362,7127
4.0,6981,7324,7529,7529,7322,7375,6292,7517,7393,5672
