,A,B,C,CD,D,E,EF,F,G,H,J,K
7.0,643,428,430,856,426,430,,645,429,429,425,643
18.0,643,428,430,856,426,430,,645,429,429,425,643
28.0,643,428,430,856,426,430,,645,429,429,425,643
