,A,B,C,D,E,F,G,H,I,J,K,L
2.0,5908,5908,5908,5114,5887,4667,4739,4799,5952,5857,5857,5784
3.0,5937,5937,5937,5139,5916,4690,4763,4823,6014,5886,5886,5813
4.0,5962,5962,5962,5165,5941,4713,4786,4847,6007,5911,5911,5837
