,1,11,12,14,15,16,17,19,2,5,6,7,8,9
8.0,9315,9468,9307,9303,9315,9307,9724,9315,9749,9315,9303,9474,9468,9705
18.0,9824,9985,9815,9810,9824,9815,10255,9824,10281,9824,9810,9991,9985,10235
27.0,10281,10450,10272,10267,10281,10272,10732,10281,10760,10281,10267,10456,10450,10712
