,A,B,C,D,E,F,G,H,J,K,L
7.0,633,557,558,582,314,556,308,272,272,302,819
16.0,633,557,558,582,314,556,308,272,272,302,819
22.0,652,557,558,582,314,556,308,272,272,302,819
