,A,B,C,D,E,F,G,H,I,J,K,L
9.0,3577560,4829600,3543800,3793490,4178800,3788120,3377080,4430800,3812920,3548400,4855600,3709160
16.0,3786160,4802800,3697790,3834380,4459600,3914960,3620680,4650000,4035900,3803400,5080800,3706820
22.0,3938760,4992000,3825300,4051500,4514000,4069520,3641680,4878000,4032600,3948600,5220800,3895580
