,A,B,C,D,E,H,I,J,K,L,M,N,O,P,R
2.0,,6525,,,6011,,,,,,,,,5820,
3.0,,6558,,,6042,,,,,,,,,5849,
4.0,,6591,,,6072,,,,,,,,,5878,
