,A,B,C,CD,CE,D,E,F,G
18.0,9134433,10719038,14887044,,,14180848,19624860,12423600,9084835
40.0,8639631,10465766,17986042,,,15677430,21318800,13988404,9726835
63.0,10420487,12380851,,,,,14644348,10253275,10253275
