,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,12607,12957,11706,13964,13929,11143,13082,11902,10632,12730,13150,15801,12588,14411
11.0,12576,12869,12305,13904,13878,11062,13265,12123,10413,12913,14075,15661,12610,13917
17.0,12472,12766,11173,11801,13764,12582,13159,12237,13159,12835,13962,15532,12505,14109
