,A,B,C,D,E,F,G,H,J
6.0,8567450,7288895,6895591,7440680,5613108,12597168,10304708,10011222,5645192
16.0,8991400,7735705,7132724,7743424,5769348,13345752,10915858,10532808,5856872
23.0,9346420,7700844,7291963,7874542,5799480,13304904,11431381,10564398,5992112
