,A,AK,B,C,D,E,F,G,H,J,JK,K
8.0,8270092,,6263400,6000423,6381942,6421469,6597317,6208059,6238089,6565400,12247956,8038824
18.0,9368292,,6268548,6059196,6627040,6448191,6795146,6792357,6327750,6621925,12935538,8478750
28.0,9623462,,6871722,7024446,6847799,6619729,7040816,6736158,7114965,6704375,13555647,9485864
