,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層A,8.0,低層,A,9617002,14887,646,338,4,NYL
18.0/F中層A,18.0,中層,A,9592454,14849,646,347,3,NYL
28.0/F高層A,28.0,高層,A,9841810,15235,646,354,3,NYL
8.0/F低層AK,8.0,低層,AK,,,,,,NYL
18.0/F中層AK,18.0,中層,AK,,,,,,NYL
28.0/F高層AK,28.0,高層,AK,,,,,,NYL
8.0/F低層B,8.0,低層,B,6262113,14597,429,418,3,NYL
18.0/F中層B,18.0,中層,B,6504069,15161,429,390,3,NYL
28.0/F高層B,28.0,高層,B,6873009,16021,429,412,3,NYL
8.0/F低層C,8.0,低層,C,5999136,13984,429,383,3,NYL
18.0/F中層C,18.0,中層,C,6072495,14155,429,383,3,NYL
28.0/F高層C,28.0,高層,C,7024875,16375,429,362,3,NYL
8.0/F低層D,8.0,低層,D,6382369,14947,427,395,3,NYL
18.0/F中層D,18.0,中層,D,6628321,15523,427,385,3,NYL
28.0/F高層D,28.0,高層,D,6850361,16043,427,355,3,NYL
8.0/F低層E,8.0,低層,E,6420607,14897,431,373,3,NYL
18.0/F中層E,18.0,中層,E,6448622,14962,431,390,3,NYL
28.0/F高層E,28.0,高層,E,6746012,15652,431,360,3,NYL
8.0/F低層F,8.0,低層,F,6596886,15306,431,437,3,NYL
18.0/F中層F,18.0,中層,F,6796439,15769,431,416,3,NYL
28.0/F高層F,28.0,高層,F,7043402,16342,431,386,3,NYL
8.0/F低層G,8.0,低層,G,7160439,16691,429,343,3,NYL
18.0/F中層G,18.0,中層,G,6791499,15831,429,392,3,NYL
28.0/F高層G,28.0,高層,G,7130838,16622,429,422,3,NYL
8.0/F低層H,8.0,低層,H,6238089,14541,429,423,3,NYL
18.0/F中層H,18.0,中層,H,6789783,15827,429,420,3,NYL
28.0/F高層H,28.0,高層,H,7116681,16589,429,402,3,NYL
8.0/F低層J,8.0,低層,J,6565400,15448,425,399,3,NYL
18.0/F中層J,18.0,中層,J,7110250,16730,425,357,3,NYL
28.0/F高層J,28.0,高層,J,6706075,15779,425,342,3,NYL
8.0/F低層JK,8.0,低層,JK,12243672,11432,1071,290,5,NYL
18.0/F中層JK,18.0,中層,JK,12935538,12078,1071,318,5,NYL
28.0/F高層JK,28.0,高層,JK,13650966,12746,1071,298,5,NYL
8.0/F低層K,8.0,低層,K,10063388,15578,646,304,4,NYL
18.0/F中層K,18.0,中層,K,10122820,15670,646,301,4,NYL
28.0/F高層K,28.0,高層,K,10345690,16015,646,381,4,NYL
