,A,B,C,D,E,F,G,H,J,JK,K
8.0,8275906,6179316,5720715,6318858,6056550,7792662,6700551,6397248,6379675,12160134,8280428
18.0,8499422,6683391,6099522,6674568,6403990,7913346,6407544,6573567,6724775,12837006,9508474
28.0,9279144,6824532,6147570,6982140,6495150,7873296,6599307,6772623,7030775,13522446,10784324
