,A1,A2,A3,B1,B2,B4,C2,C3
2.0,2723896,3091200,3494268,2531966,3346680,3088900,3218374,3330360
3.0,2737684,3106560,3511494,2544394,3363714,3104540,3234626,3373686
4.0,2751855,3121920,3549600,2557300,3380748,3120180,3250878,3391956
