,A,B,C,D,E,F,G,H,J,K,L,M
6.0,306,303,373,488,433,373,373,374,454,485,300,398
15.0,306,303,373,488,433,373,373,374,454,485,300,398
22.0,306,303,373,488,433,373,373,374,454,485,300,398
