,A,B,C,D,E,F,G,H,J
6.0,5307547,5634640,5625214,5536171,4724476,4886280,5425421,5488630,5321400
16.0,5364612,5960344,5614336,5988313,5017570,4809730,5768746,5627102,5389866
23.0,5481420,6082994,5894784,5957504,5073000,4987080,6046106,5761860,5610942
