,A,B,C,D,E,F,G,H,I,J,K,L
2.0,3662960,3662960,3662960,3375240,3473330,2146820,2037770,1943595,3452160,3279920,3279920,3239040
3.0,3680940,3680940,3680940,3391740,3490440,2157400,2048090,1953315,3488120,3296160,3296160,3255280
4.0,3696440,3696440,3696440,3408900,3505190,2167980,2057980,1963035,3484060,3310160,3310160,3268720
