,A,B,C,D,E,F,G,H
4.0,5642487,9269568,6520290,5955066,5911461,6469390,8579340,5783400
9.0,5779728,8646561,6690805,6109749,6078996,6638378,8896734,5765958
14.0,5901363,9790011,6872518,6276366,6253416,6817546,8993754,6099651
