,A,B,C,E,F,G,H,J,K,L,M,N,O
2.0,2249700,2364375,2229315,2229315,2333825,2292685,2625750,2341120,2398300,2341120,2212410,2341120,2229315
3.0,2261100,2376400,2623140,2240525,2340000,2304275,2547990,2352960,2410480,2352960,2414540,2352960,2240525
4.0,2490000,2389400,2252915,2252915,2358525,2481175,2647620,2366080,2441220,2366080,2132950,2366080,2252915
