,1,10,11,12,15,16,17,18,19,2,20,21,22,23,25,26,27,28,29,3,30,31,32,33,35,36,37,38,39,5,6,7,8,9
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
