,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,290,260,305,165,165,300,270,245,285,315,165,165,275,245
11.0,337,260,305,165,165,300,250,245,285,270,165,165,275,245
17.0,337,260,419,419,165,337,250,245,250,270,165,165,275,238
