,A,AB,B,C,D,E,F
6.0,4634490,8785920,5476140,4782600,4827150,5511780,4651455
8.0,4677555,8873280,5565240,4827600,4852350,5563620,4695390
11.0,4746720,9003840,5647320,4898700,4923900,5645700,4764555
