,A,B,C,D,E,F,G,H,J,K,M
6.0,379,279,370,255,266,270,257,370,195,381,282
16.0,378,279,370,255,266,270,257,370,195,381,282
23.0,379,279,370,255,266,270,257,370,195,381,282
