,A,B,C,CD,D,E,EF,F,G,H,J,K
7.0,9117740,6144796,6394530,10650352,6351234,6033330,,9208020,6280131,6073353,5937675,9843044
18.0,9578128,6154640,6692520,11078352,6719298,6409150,,8761035,6646497,6552546,6647000,9057941
28.0,9223835,6613028,6910530,11689536,6689478,6305520,,9151905,6979830,7309731,6871400,9292636
