,A,B,C,D,E,F,G,H,J,K
6.0,12913,12265,12217,12300,13429,13320,12152,12898,12761,12908
16.0,12969,12528,12425,12118,14035,13736,12667,13193,13125,13514
23.0,13654,12848,13001,12745,14383,13834,12636,13577,13188,13679
