,A,B,C,E,F,G,H,J,K,L,M,N,O
2.0,7499,7275,7557,7557,7181,7517,9725,7316,8270,7316,7629,7316,7557
3.0,7537,7312,8892,7595,7200,7555,9437,7353,8312,7353,8326,7353,7595
4.0,8300,7352,7637,7637,7257,8135,9806,7394,8418,7394,7355,7394,7637
