,A1,A2,A3,A4,B1,B2,B4,C1,C3,C4
2.0,8029,7904,8894,10089,8894,7904,9904,8894,9034,9901
3.0,9090,9945,8938,10138,8938,7943,8071,8938,9339,10041
4.0,9141,9999,8985,10194,8985,7982,10260,8985,9127,10096
