,A,A & B,B,C,C & D,D
4.0,4375185,7070265,4078620,4115580,7070265,4409130
9.0,4474695,7249920,4170600,4202520,7249920,4509105
14.0,4582575,7430460,4270980,4303740,7430460,4616985
