,A,B,C,D,E,F,G,H,J
8.0,7262432,11446842,11186202,5084380,5061840,7629790,11093728,11169720,8001145
18.0,7529776,12168486,11388960,5606020,5566414,7886550,11700192,11155920,8343405
28.0,7867552,12745656,11711791,5554822,5610528,7731220,12284576,11128320,8716730
