,A,B,C,D,E,F,G,H,I,J,K,L
9.0,12777,12074,12220,13081,10447,13529,12061,11077,13148,11828,12139,14266
16.0,13522,12007,12751,13222,11149,13982,12931,11625,13453,12678,12702,14257
22.0,14067,12480,12751,13505,11285,14534,13006,12195,13442,13162,13052,14983
