,A,B,C,D,E,F,G,H,J,K,L
7.0,7585239,6713521,6506280,6865272,4249048,6715924,4226376,4098768,3997040,4152500,8177715
16.0,7923261,7036024,6812622,7167912,4605438,7041740,4419492,4140384,4326976,4417354,8479107
22.0,8414712,7254925,7170300,7371612,4664470,7262472,4468464,4198320,4514112,4672242,8713341
