,A,B,C,E,F,G,H,J,K,L,M,N,O
2.0,300,325,295,295,325,305,270,320,290,320,290,320,295
3.0,300,325,295,295,325,305,270,320,290,320,290,320,295
4.0,300,325,295,295,325,305,270,320,290,320,290,320,295
