,A,AB,B,C,D,E,F,G,H,J,K,L,M
4.0,10098,8276,10403,10331,10341,10317,10098,10098,10349,10456,10242,10349,9538
10.0,9586,8522,10058,9961,9966,10019,9586,9586,9970,9657,9875,9970,9825
17.0,10500,8828,11377,11272,11342,11395,10500,10500,11040,10410,11214,11040,10169
