,A,B,C,D,E,G,H
2.0,2458755,2256730,2266433,2458755,2458755,2304932,2458755
3.0,2471040,2268311,2278014,2471040,2471040,2316826,2471040
4.0,2483676,2279579,2204772,2483676,2483676,2350317,2483676
